State,County,Life Expectancy
California,"San Francisco County, CA",83.1
California,"San Francisco County, CA",84.1
California,"San Francisco County, CA",84.7
California,"San Francisco County, CA",89.2
California,"San Francisco County, CA",82.2
California,"San Francisco County, CA",85.3
California,"San Francisco County, CA",79.7
California,"San Francisco County, CA",75.5
California,"San Francisco County, CA",81.3
California,"San Francisco County, CA",79.9
California,"San Francisco County, CA",83.6
California,"San Francisco County, CA",76.0
California,"San Francisco County, CA",75.8
California,"San Francisco County, CA",80.4
California,"San Francisco County, CA",75.3
California,"San Mateo County, CA",84.1
California,"San Mateo County, CA",85.6
California,"San Mateo County, CA",81.6
California,"San Mateo County, CA",85.5
California,"San Mateo County, CA",85.1
California,"San Mateo County, CA",82.9
California,"San Mateo County, CA",84.8
California,"San Mateo County, CA",84.1
California,"San Mateo County, CA",81.4
California,"San Mateo County, CA",83.5
California,"San Mateo County, CA",79.0
California,"San Mateo County, CA",85.5
California,"San Mateo County, CA",81.3
California,"San Mateo County, CA",79.3
California,"San Mateo County, CA",80.2
California,"San Mateo County, CA",86.6
California,"San Mateo County, CA",81.9
California,"San Mateo County, CA",79.4
California,"San Mateo County, CA",81.5
California,"San Mateo County, CA",81.2
California,"San Mateo County, CA",83.7
California,"San Mateo County, CA",79.4
California,"San Mateo County, CA",82.1
California,"San Mateo County, CA",85.4
California,"San Mateo County, CA",81.3
California,"San Mateo County, CA",82.5
California,"San Mateo County, CA",81.2
California,"San Mateo County, CA",80.9
California,"San Mateo County, CA",80.4
California,"San Mateo County, CA",81.7
California,"San Mateo County, CA",84.1
California,"San Mateo County, CA",83.6
California,"San Mateo County, CA",82.3
California,"San Mateo County, CA",80.0
California,"San Mateo County, CA",80.2
California,"San Mateo County, CA",80.4
California,"San Mateo County, CA",81.1
California,"San Mateo County, CA",77.1
California,"San Mateo County, CA",83.5
California,"San Mateo County, CA",82.8
California,"San Mateo County, CA",80.4
California,"San Mateo County, CA",81.2
California,"San Mateo County, CA",84.4
